Experiment: 20221014_ComplementCheck_EH  Selected Filter: SYBR Green I / HRM Dye (483-533)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	A1	Sample 1	18.73		0	
True	255	A2	Sample 2	21.56		0	
True	255	A3	Sample 3	19.90		0	
True	255	A4	Sample 4	23.41		0	
True	255	A5	Sample 5	17.37		0	
True	255	A6	Sample 6	22.61		0	
True	255	A7	Sample 7	18.29		0	
True	255	A8	Sample 8	21.74		0	
True	255	A9	Sample 9	20.33		0	
True	255	A10	Sample 10	23.44		0	
True	255	A11	Sample 11	17.35		0	
True	255	A12	Sample 12	22.66		0	
True	255	A13	Sample 13	18.68		0	
True	255	A14	Sample 14	21.35		0	
True	255	A15	Sample 15	20.95		0	
True	255	A16	Sample 16	23.59		0	
True	255	A17	Sample 17	17.41		0	
True	255	A18	Sample 18	22.93		0	
True	65280	A19	Sample 19			0	
True	65280	A20	Sample 20			0	
True	65280	A21	Sample 21			0	
True	65280	A22	Sample 22			0	
True	255	A23	Sample 23	32.18		0	
True	65280	A24	Sample 24			0	
True	255	B1	Sample 25	16.82		0	
True	255	B2	Sample 26	19.70		0	
True	255	B3	Sample 27	18.53		0	
True	255	B4	Sample 28	22.58		0	
True	255	B5	Sample 29	16.39		0	
True	255	B6	Sample 30	21.58		0	
True	255	B7	Sample 31	16.61		0	
True	255	B8	Sample 32	19.77		0	
True	255	B9	Sample 33	18.38		0	
True	255	B10	Sample 34	22.00		0	
True	255	B11	Sample 35	15.90		0	
True	255	B12	Sample 36	21.52		0	
True	255	B13	Sample 37	16.75		0	
True	255	B14	Sample 38	19.75		0	
True	255	B15	Sample 39	18.44		0	
True	255	B16	Sample 40	22.27		0	
True	255	B17	Sample 41	15.98		0	
True	255	B18	Sample 42	21.91		0	
True	65280	B19	Sample 43			0	
True	65280	B20	Sample 44			0	
True	65280	B21	Sample 45			0	
True	65280	B22	Sample 46			0	
True	255	B23	Sample 47	32.27		0	
True	65280	B24	Sample 48			0	
True	255	C1	Sample 49	17.36		0	
True	255	C2	Sample 50	19.82		0	
True	255	C3	Sample 51	18.50		0	
True	255	C4	Sample 52	21.49		0	
True	255	C5	Sample 53	15.56		0	
True	255	C6	Sample 54	20.62		0	
True	255	C7	Sample 55	16.97		0	
True	255	C8	Sample 56	19.85		0	
True	255	C9	Sample 57	18.41		0	
True	255	C10	Sample 58	21.36		0	
True	255	C11	Sample 59	15.37		0	
True	255	C12	Sample 60	20.49		0	
True	255	C13	Sample 61	17.20		0	
True	255	C14	Sample 62	19.86		0	
True	255	C15	Sample 63	18.62		0	
True	255	C16	Sample 64	21.74		0	
True	255	C17	Sample 65	15.77		0	
True	255	C18	Sample 66	20.78		0	
True	65280	C19	Sample 67			0	
True	65280	C20	Sample 68			0	
True	65280	C21	Sample 69			0	
True	65280	C22	Sample 70			0	
True	255	C23	Sample 71	31.38		0	
True	65280	C24	Sample 72			0	
True	255	D1	Sample 73	19.31		0	
True	255	D2	Sample 74	20.23		0	
True	255	D3	Sample 75	18.62		0	
True	255	D4	Sample 76	22.51		0	
True	255	D5	Sample 77	16.33		0	
True	255	D6	Sample 78	21.70		0	
True	255	D7	Sample 79	18.71		0	
True	255	D8	Sample 80	20.19		0	
True	255	D9	Sample 81	18.59		0	
True	255	D10	Sample 82	22.50		0	
True	255	D11	Sample 83	16.31		0	
True	255	D12	Sample 84	21.78		0	
True	255	D13	Sample 85	18.91		0	
True	255	D14	Sample 86	20.23		0	
True	255	D15	Sample 87	18.54		0	
True	255	D16	Sample 88	22.46		0	
True	255	D17	Sample 89	16.54		0	
True	255	D18	Sample 90	21.49		0	
True	65280	D19	Sample 91			0	
True	65280	D20	Sample 92			0	
True	255	D21	Sample 93	37.47		0	
True	255	D22	Sample 94	36.29		0	
True	65280	D23	Sample 95			0	
True	65280	D24	Sample 96			0	
True	255	E1	Sample 97	19.38		0	
True	255	E2	Sample 98	20.28		0	
True	255	E3	Sample 99	18.39		0	
True	255	E4	Sample 100	21.99		0	
True	255	E5	Sample 101	15.93		0	
True	255	E6	Sample 102	21.40		0	
True	255	E7	Sample 103	18.63		0	
True	255	E8	Sample 104	20.18		0	
True	255	E9	Sample 105	18.42		0	
True	255	E10	Sample 106	22.26		0	
True	255	E11	Sample 107	15.95		0	
True	255	E12	Sample 108	21.32		0	
True	255	E13	Sample 109	19.51		0	
True	255	E14	Sample 110	20.29		0	
True	255	E15	Sample 111	18.37		0	
True	255	E16	Sample 112	21.95		0	
True	255	E17	Sample 113	15.97		0	
True	255	E18	Sample 114	21.23		0	
True	65280	E19	Sample 115			0	
True	65280	E20	Sample 116			0	
True	65280	E21	Sample 117			0	
True	65280	E22	Sample 118			0	
True	255	E23	Sample 119	30.40		0	
True	65280	E24	Sample 120			0	
True	255	F1	Sample 121	19.30		0	
True	255	F2	Sample 122	19.88		0	
True	255	F3	Sample 123	18.37		0	
True	255	F4	Sample 124	21.97		0	
True	255	F5	Sample 125	16.38		0	
True	255	F6	Sample 126	21.43		0	
True	255	F7	Sample 127	18.33		0	
True	255	F8	Sample 128	19.85		0	
True	255	F9	Sample 129	18.35		0	
True	255	F10	Sample 130	21.92		0	
True	255	F11	Sample 131	16.26		0	
True	255	F12	Sample 132	21.62		0	
True	255	F13	Sample 133	18.92		0	
True	255	F14	Sample 134	19.97		0	
True	255	F15	Sample 135	18.39		0	
True	255	F16	Sample 136	21.72		0	
True	255	F17	Sample 137	15.86		0	
True	255	F18	Sample 138	21.00		0	
True	65280	F19	Sample 139			0	
True	65280	F20	Sample 140			0	
True	65280	F21	Sample 141			0	
True	255	F22	Sample 142	32.78		0	
True	255	F23	Sample 143	31.56		0	
True	65280	F24	Sample 144			0	
True	65280	G1	Sample 145			0	
True	255	G2	Sample 146	22.27		0	
True	255	G3	Sample 147	19.57		0	
True	255	G4	Sample 148	21.61		0	
True	255	G5	Sample 149	15.53		0	
True	255	G6	Sample 150	19.96		0	
True	65280	G7	Sample 151			0	
True	255	G8	Sample 152	21.87		0	
True	255	G9	Sample 153	19.57		0	
True	255	G10	Sample 154	21.63		0	
True	255	G11	Sample 155	15.79		0	
True	255	G12	Sample 156	19.96		0	
True	65280	G13	Sample 157			0	
True	255	G14	Sample 158	22.08		0	
True	255	G15	Sample 159	19.48		0	
True	255	G16	Sample 160	21.12		0	
True	255	G17	Sample 161	15.36		0	
True	255	G18	Sample 162	19.63		0	
True	65280	G19	Sample 163			0	
True	65280	G20	Sample 164			0	
True	65280	G21	Sample 165			0	
True	65280	G22	Sample 166			0	
True	255	G23	Sample 167	31.65		0	
True	65280	G24	Sample 168			0	
True	255	H1	Sample 169	31.75		0	
True	255	H2	Sample 170	21.86		0	
True	255	H3	Sample 171	19.37		0	
True	255	H4	Sample 172	20.93		0	
True	255	H5	Sample 173	15.27		0	
True	255	H6	Sample 174	19.44		0	
True	65280	H7	Sample 175			0	
True	255	H8	Sample 176	21.58		0	
True	255	H9	Sample 177	19.35		0	
True	255	H10	Sample 178	21.16		0	
True	255	H11	Sample 179	15.46		0	
True	255	H12	Sample 180	19.28		0	
True	65280	H13	Sample 181			0	
True	255	H14	Sample 182	21.75		0	
True	255	H15	Sample 183	19.35		0	
True	255	H16	Sample 184	20.73		0	
True	255	H17	Sample 185	14.87		0	
True	255	H18	Sample 186	18.53		0	
True	65280	H19	Sample 187			0	
True	65280	H20	Sample 188			0	
True	255	H21	Sample 189	31.42		0	
True	65280	H22	Sample 190			0	
